location,tasks,actual_overdue_rate,mean_predicted_risk
Quality Control & BC(A)R>ITP 03 Civil Works,1,0.0,0.0728518600382387
1330 - Regeneron Building 19,32,0.09375,0.06991717943761212
QC & BC(A)R>ITP 01 Structural>Block 3>2nd Floor Plan,2,0.0,0.0648863768326368
Quality Control & BC(A)R>ITP 02 Architectural>2nd Floor Plan>19-L2-19 PS Media and Buffer Prep,1,0.0,0.0624423533446711
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>3. Courtyard (West Elevation)>6th to 7th Floor,1,0.0,0.05829020476288
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>5. Moss Street (East Elevation)>4th to 5th Floor,2,0.0,0.05829020476288
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 4>Elevations>7. Coutyard (South Elevation)>5th to 6th Floor,1,0.0,0.05829020476288
JPC Project Management>General Site Plan,5,0.0,0.04758565277259874
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>3. Courtyard (West Elevation)>3rd to 4th Floor,1,0.0,0.0346561531280173
JPC Project Management>EHS Management>02 Permits,2,0.0,0.03167117106720095
Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area Facilities,1,0.0,0.0260948483029855
Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area Facilities>Storage,1,0.0,0.0232646436915858
Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area Facilities>Sauna,1,0.0,0.0218058786351256
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>5. Moss Street (East Elevation),1,0.0,0.0190128621631665
Quality Control & BC(A)R>ITP 02 Architectural>1st Floor Plan>19-L1-36 Cent Lab Store,3,0.0,0.018174062733015136
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan,1,0.0,0.0164974332730935
Quality Control & BC(A)R>ITP 01 Civil & Structural>Main Building>Pile Capping Beam>Zone 1,1,0.0,0.0158965152455459
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan>Area 2>RM.01.143,1,0.0,0.0156521443738988
Quality Control & BC(A)R>ITP 01 Civil & Structural>Main Building>Secant Pile Wall>Zone 1,1,0.0,0.0156208380082873
Quality Control & BC(A)R>ITP 01 Structural>Block 1 & 2>Foundations,1,0.0,0.0152259529859883
JPC Project Management>Site Management,51,0.0,0.01520742212361365
Quality Control & BC(A)R>1345 Data Centre>ITP01 Civil & Structural Works (To be developed)>Lvl -01 Foundation>(-01) Zone 1,1,0.0,0.0112632969308022
JPC Project Management>EHS Forms>03 Safety Notices,5,0.0,0.0112078488515547
Quality Control & BC(A)R>ITP 01 Structural>Carpark,2,0.0,0.0099585183149424
JPC Project Management,33,0.0,0.009086432850695832
Training Area,5,0.0,0.008467728460741699
Quality Control & BC(A)R>ITP 02 Architectural>Existing Buildings>Lvl 04 Roof Plans>Block 19 - Roof,4,0.0,0.007824751087975675
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 1>Block 1 - Bracken Lane Elevation,2,0.0,0.0073848127276892
Quality Control & BC(A)R>ITP 01 Structural>Block 1 & 2>Ground Floor Plan,2,0.0,0.00694485053497345
Quality Control & BC(A)R>ITP 02 Architectural>2nd Floor Plan>Offices>19-L2-43 Open Office,1,0.0,0.0063484184304656
JPC Project Management>Lessons Learned & Alerts - EHS & Quality,2,0.0,0.0048798276337254
Quality Control & BC(A)R>ITP 02 Architectural>2nd Floor Plan>Fallow Areas>19-L2-44 Fallow Area 2,1,0.0,0.0043475023756907
Quality Control & BC(A)R>ITP 02 Architectural>1st Floor Plan>Meeting Rooms>Meeting 2,1,0.0,0.0043264170246181
Quality Control & BC(A)R>ITP 02 Architectural>2nd Floor Plan>Offices>19-L2-35 Open Office,1,0.0,0.0042286563159704
JPC Project Management>Review - Mark Up Form Templates,1,0.0,0.004130494119321
Quality Control & BC(A)R>ITP 02 Architectural>2nd Floor Plan,1,0.0,0.004028879100408
Quality Control & BC(A)R>ITP 02 Architectural>1st Floor Plan>Stairs,1,0.0,0.0039861737431004
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 2>5th Floor Plan,1,0.0,0.0039115889736774
Quality Control & BC(A)R>ITP 02 Architectural>2nd Floor Plan>Lobbies,1,0.0,0.0038589787303566
Quality Control & BC(A)R>ITP 02 Architectural>1st Floor Plan>19-L1-28 Goods Lift,1,0.0,0.0038465984434498
Quality Control & BC(A)R>ITP 02 Architectural>1st Floor Plan,3,0.0,0.0038359534247497003
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Roof GA,2,0.0,0.0034316315871310505
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 1>4th Floor Plan,1,0.0,0.0032892339518672
Quality Control & BC(A)R>ITP 01 Structural>Block C,1,0.0,0.0030180058310605
Quality Control & BC(A)R>ITP 02 Architectural>2nd Floor Plan>Stairs>19-L1-04 Stair 4,1,0.0,0.0029899203241836
1328 - Townsend St,148,0.006756756756756757,0.002973470379316191
JPC Project Management>Site Logistics Plan,2,0.0,0.00284106119357635
Quality Control & BC(A)R>ITP 01 Structural>New Building,1,0.0,0.0023674514141656
1338 - Kildare Village,14,0.0,0.0021368451015926428
JPC Project Management>Site Management>01 Daily Site Diary,3,0.0,0.0019133942457938001
Quality Control & BC(A)R>ITP 02 Architectural>1st Floor Plan>19-L1-72 Social Area,1,0.0,0.0015172687512639
Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area Facilities>Family 2,2,0.0,0.0015146440183641
QC & BC(A)R>ITP 02 Architectural & M&E Services,2,0.0,0.0015005411375061
JPC Project Management>EHS Management>04 Staturatury Forms,10,0.0,0.00097871968585088
JPC Project Management>EHS Forms,44,0.0,0.0009513053313380143
JPC Project Management>EHS Management,52,0.0,0.0009397992678865381
JPC Project Management>Training Records - EHS & Quality,3,0.0,0.0008843044786180001
JPC Project Management>JPC Responsilbility Matrix,1,0.0,0.0008699464163431
JPC Project Management>Site Management>Progress Photos>Existing Building>Third Floor,1,0.0,0.0008511765614399
JPC Project Management>EHS Management>03 Safety Notices,10,0.0,0.00047110645015515095
JPC Project Management>EHS Forms>01 Inspections,403,0.0,0.00041604834819451215
JPC Project Management>Daily Site Diary & Allocation Sheets,50,0.0,0.0003396023018636989
JPC Project Management>EHS Management>01 Inspections,392,0.0,0.00032364691560372416
JPC Project Management>Statuatory Forms,2,0.0,0.00031987754669454997
1343 - Project ABC,13,0.0,0.00020527917809716147
JPC Project Management>EHS Management>EHS Inspections,143,0.0,0.00020160943535547674
Quality Control & BC(A)R>ITP 01 Structural>Block 1>Lvl 00 Ground Floor,1,0.0,0.0001761686644244
Quality Control & BC(A)R>ITP 01 Civil & Structural>Main Building>Secant Pile Wall,2,0.0,0.0001569960853023
1329 - 19-22 Kildare Street,15,0.0,0.00013997860366132586
JPC Project Management>EHS Management>Safety Notices,2,0.0,0.00012264205117299998
JPC Project Management>EHS Inspections,271,0.0,0.0001216032669575871
1345 - DUB062 Project,33,0.0,0.00010076384833395503
JPC Project Management>Staturatury Forms,1,0.0,9.815709516381776e-05
Quality Control,2,0.0,8.714935311528692e-05
"Site Logistics, Access & Deliveries>Main Site Set Up Plan",73,0.0,8.689673258736407e-05
JPC Project Management>EHS Inspections & Assessments,79,0.0,7.841024238409973e-05
"Site Logistics, Access & Deliveries",1,0.0,6.13856824820428e-05
